company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
Greenjoules,Series A,4500000.0,,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,2021.0,,2018.0,Renewable Energy,Pune,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,
Tabono,Seed funding,566999.3634413877,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,2018.0,Undisclosed,2018.0,Sports,Gurgaon,,,
BrowserStack,Series B,200000000.0,,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,2021.0,,2011.0,SaaS startup,Mumbai,"Nakul Aggarwal, Ritesh Arora",Accel,
Urban Company,,188000000.0,,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021.0,,2014.0,Home services,New Delhi,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,
Cell Propulsion,Seed funding,102199.77720448568,"Bangalore, Karnataka, India",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Bangalore,,,
Medpho,,1000000.0,,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,2021.0,,2021.0,Hospital & Health Care,Noida,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",
4Fin,Pre-Seed funding,1100000.0,,4Fin is a Fintech Platform catering to needs of Smart Bharat.,2021.0,,2021.0,Financial Services,Pune,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,
Dream Sports,,840000000.0,,"Dream Sports is India’s leading sports technology company with brands such as Dream11, world’s largest fantasy sports platform",2021.0,,2008.0,Sports,Mumbai,Harsh Jain,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global",
Toothsi,Series B,20000000.0,,India’s first and largest at home smile makeover service using invisible aligners.,2021.0,,2018.0,Health,Mumbai,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",
Nua,Seed funding,566999.3634413877,"Mumbai, Maharashtra, India",Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018.0,Undisclosed,2018.0,Consumer Goods,Mumbai,,,
Pixxel,Seed funding,7300000.0,,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,2021.0,,2019.0,SpaceTech,Bangalore,"Awais Ahmed, Kshitij Khandelwal","Techstars, Ryan Johnson",
Udayy,Seed funding,2500000.0,,Interactive learning platform for kids,2021.0,,2019.0,EdTech,Gurgaon,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,
