company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
Park+,Series B,25000000.0,,Building an eco-system for car owners which will be a one-stop solution for all their needs.,2021.0,,2019.0,Tech startup,New Delhi,Amit Lakhotia,"Sequoia Capital, Matrix Partners",
Purplle,,70000000.0,,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,2021.0,,2012.0,E-commerce,Mumbai,"Rahul Dash, Manish Taneja",Kedaara,
PlanetSpark,Series B,13000000.0,,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,2021.0,,2017.0,Education Management,Gurugram,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",
Perspectico,Seed funding,566999.3634413877,"New Delhi, Delhi, India",An Education Management startup.,2018.0,Undisclosed,2018.0,Business Services,New Delhi,,,
Karbon Card,,3500000.0,,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,2021.0,,2019.0,FinTech,Bangalore,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,
Vista Rooms,,1000000.0,,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""",2021.0,,2015.0,Hospitality,Mumbai,"Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",
Mobileware Technologies,,4700000.0,,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",2021.0,,2008.0,Information Technology & Services,Mumbai,"Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,
CredAble,Series B,30000000.0,,CredAble provides liquidity programs for enterprise supply chains.,2021.0,,2017.0,Financial Services,Mumbai,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",
Sleepy Owl Coffee,Seed funding,510998.88602242846,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018.0,Undisclosed,2018.0,Consumer Goods,New Delhi,,,
GlobalBees,Series A,150000000.0,,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,2021.0,,2021.0,D2C Business,New Delhi,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",
ExMyB,Seed funding,1000000.0,,ExMyB provides financial service and consulting services.,2021.0,,2018.0,Consulting,Gurugram,Nishant Behl,Campus Fund,
Meesho,,300000000.0,,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,2021.0,,2015.0,E-commerce,Bangalore,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",
Royal Sundaram General Insurance Co. Limited,Corporate Round,210000000.0,"Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",2018.0,Undisclosed,2018.0,Financial Services,Kalpakkam,,,
Nestasia,Series A,4000000.0,,"Artisanal, Handmade, bio conscious crafts from South East Asia.",2021.0,,2018.0,Retail,Kolkata,"Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",
Frenzi,Seed funding,1000000.0,,India’s Fastest Growing Streaming Social Network,2021.0,,2020.0,Online Media,Mumbai,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,
Exponent Energy,Series A,5000000.0,,Simplifying energy for EVs by building a Flexible Energy Stack.,2021.0,,2020.0,Automotive,Bangalore,"Arun Vinayak, Sanjay Byalal",YourNest VC,
SmartCoin,,10000000.0,,India's Most Preferred Instant Loan App,2021.0,,2016.0,FinTech,Bangalore,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",
Quizizz,Series A,12500000.0,,Quizizz is a Education based startup,2021.0,,2015.0,EdTech,Bangalore,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",
Verandah,Seed funding,1000000.0,,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,2021.0,,2011.0,Apparel & Fashion,Mumbai,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",
Nova Benefits,Series A,10000000.0,,Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,2021.0,,2020.0,"Health, Wellness & Fitness",Bangalore,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",
Boutique Spirit Brands,,10000000.0,,Boutique Spirit Brands is a leading Brand creation & manufacturing company of Branded alcoholic beverages in India.,2021.0,,2016.0,Wine & Spirits,New Delhi,Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",
Syook,Series A,1000000.0,,Syook is building the next generation enterprise IOT platform.,2021.0,,2016.0,Industrial Automation,Bangalore,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",
G.O.A.T,Series A,36000000.0,,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,2021.0,,2021.0,D2C,Bangalore,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",
Faarms,Seed funding,2000000.0,,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,2021.0,,2020.0,AgriTech,Bangalore,"Taranbir Singh, Alok Duggal",,
upGrad,,25000000.0,,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",2021.0,,2015.0,EdTech,Mumbai,"Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,
MadGuy Labs,Series A,150000.0,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,2018.0,Undisclosed,2018.0,Education,Hyderabad,,,
Samaaro,,125000.0,,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience",2021.0,,2020.0,SaaS startup,Bangalore,"Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",
SuperBeings,Seed funding,1000000.0,,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",2021.0,,2019.0,Computer software,Bangalore,"Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,
artbandhu,Pre-Seed funding,15000.0,"Bangalore, Karnataka, India",Ai platform for Art and Creative Community,2018.0,Undisclosed,2018.0,Media & Entertainment,Bangalore,,,
Zupee,,30000000.0,,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",2021.0,,2018.0,Gaming,Gurugram,"Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",
Kolo,Pre-Seed funding,550000.0,,Home construction app for finding ideas and service providers near you,2021.0,,2020.0,Construction,Bangalore,"Pranav Garg, Jery Althaf",Better Capital,
Sporjo,,2000000.0,,A one stop destination to build a successful career in the Indian sports industry!,2021.0,,2020.0,SportsTech,Mumbai,G Srinivvasan,Punit Balan,
Ummeed Housing Finance Private Limited,Series C,8759980.90324163,"Haryana, Haryana, India",Ummeed Housing Finance Private Limited,2018.0,Undisclosed,2018.0,Financial Services,Chandigarh,,,
NewsReach,Seed funding,300000.0,,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,2021.0,,2018.0,Media,Ahmedabad,"Soniya Kundnani, Darshan Shah",JITO Angel Network,
Elixia Tech Solutions,Series A,1000000.0,,End to End Logistics Automation Expert,2021.0,,2011.0,Information Technology & Services,Mumbai,Sanket Sheth,Rajasthan Venture Capital Fund,
TartanSense,Series A,5000000.0,,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2021.0,,2015.0,Information Technology,Bangalore,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",
Bewakoof,,4000000.0,,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",2021.0,,2011.0,D2C Fashion,Mumbai,Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust",
Zepto,,60000000.0,,Grocery delivery startup,2021.0,,2021.0,E-commerce,Mumbai,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",
Camp K12,,12000000.0,,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2021.0,,2010.0,EdTech,Gurugram,Anshul Bhagi,"Matrix Partners India, Elevation Capital",
LegalPay,Seed funding,1000000.0,,A trusted financial partner for advocates and corporate.,2021.0,,2019.0,FinTech,New Delhi,Kundan Shahi,9Unicorns,
Neobank Jupiter,Series C,86000000.0,,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,2021.0,,2019.0,Banking,Mumbai,Jitendra Gupta,"Tiger Global, Sequoia Capital",
Nobel Hygiene,,60000000.0,,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",2021.0,,1999.0,HealthCare,Mumbai,Johari Kamal,Quadria Capital,
Classplus,Series C,65000000.0,,Classplus was born out of an urge to redefine classroom engagement in this country.,2021.0,,2017.0,EdTech,Noida,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,
AdmitKard,Series A,1000000.0,,A tech solution for end to end career advisory to students looking to study abroad.,2021.0,,2016.0,EdTech,Noida,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal",Unknown,
Smartcoin,Seed funding,2000000.0,"Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Ola Electric,,200000000.0,,Sustainability for the future.,2021.0,,2017.0,Automotive,Bangalore,Bhavish Aggarwal,"Falcon Edge, Softbank",
Bizongo,Series D,100000000.0,,Bizongo is India’s largest B2B platform for made-to-order products.,2021.0,,2015.0,Information Technology & Services,Mumbai,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,
TrulyMadly,Series A,2000000.0,,Trulymadly is a dating platform that uses a match making algorithm.,2021.0,,2013.0,Dating,New Delhi,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",
Hero Electric,Series A,23359949.075311013,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018.0,Undisclosed,2018.0,Manufacturing,New Delhi,,,
Shyplite,,1000000.0,,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,2021.0,,2016.0,Logistics,New Delhi,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,
Muvin,Seed funding,1000000.0,,Youth Neobank enabling financial solutions for the teenagers and young people,2021.0,,2020.0,FinTech,Bangalore,Mukund V Rao,,
ONGO Framework,Seed funding,1000000.0,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,2018.0,Undisclosed,2018.0,Business Services,Hyderabad,,,
Mynvax,Series A,4000000.0,,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,2021.0,,2017.0,Biotechnology,Bangalore,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",
DusMinute,Series A,1100000.0,,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,2021.0,,2017.0,Retail,Bangalore,Apoorva Mishra,Indian Angel Network,
CredR,,6500000.0,,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,2021.0,,2015.0,Automotive,Bangalore,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",
Fitterfly,Series A,3000000.0,,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",2021.0,,2016.0,HealthTech,Mumbai,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",
Ankur capital,,40000000.0,,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,2021.0,,2011.0,FinTech,Mumbai,Ritu Verma,,
Avataar Ventures,,100000000.0,,Avataar Venture Partners is a growth Capital Investment Firm.,2021.0,,2019.0,FinTech,Bangalore,Mohan Kumar,,
Expertrons,,3500000.0,,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2021.0,,2019.0,E-learning,Mumbai,"Jatin Solanki, Vivek Gupta","Kunal Shah, Anant Maheshwari",
RevFin,Seed funding,566999.3634413877,"Delhi, Delhi, India",RevFin is a digital lending company.,2018.0,Undisclosed,2018.0,Business Services,New Delhi,,,
Ola,,500000000.0,,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",2021.0,,2010.0,Mobility,Bangalore,Bhavish Aggarwal,Marquee international institutional investors,
Idha Skin Clinic,Seed funding,72999.84086034691,"Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,2018.0,Undisclosed,2018.0,Consumer Goods,Bangalore,,,
Glamyo Health,Series A,3000000.0,,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,2021.0,,2019.0,Hospital & Health Care,New Delhi,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,
Porter,Series E,100000000.0,,Porter is India's Largest Marketplace for Intra-City Logistics.,2021.0,,2014.0,Logistics & Supply Chain,Bangalore,"Pranav Goel, Uttam Digga, Vikas Choudhary","Tiger Global, Vitruvian Partners",
Probus,Bridge,500000.0,,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",2021.0,,2017.0,IoT,New Delhi,"Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,
Safex Chemicals,,50000000.0,,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,2021.0,,1991.0,AgriTech,New Delhi,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,
D’Moksha Homes,Seed funding,570000.0,,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.",2021.0,,2020.0,Textiles,Mumbai,"Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",
Genworks Health,,2000000.0,,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,2021.0,,2015.0,Healthcare,Bangalore,S Ganeshprasad,Blacksoil,
Oliveboard,,3000000.0,,Oliveboard is the top exam preparation platform for Banking & Government Exams.,2021.0,,2012.0,EdTech,Bangalore,"Abhishek Patil, V Satish Kumar",IAN Fund,
TartanSense,Series A,5000000.0,,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2021.0,,2015.0,Information Technology,Bangalore,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",
HelloVerify,Seed funding,566999.3634413877,"Noida, Uttar Pradesh, India",HelloVerify is an online background check platform.,2018.0,Undisclosed,2018.0,Financial Services,Noida,,,
MFine,Series C,48000000.0,,"MFine aims to make access to trusted healthcare simple, fast, and effective.",2021.0,,2017.0,Hospital & Health Care,Bangalore,"Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",
CredAvenue,Series A,90000000.0,,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,2021.0,,2017.0,FinTech,Chennai,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",
Green Cure,Series A,3600000.0,,World's first company to combine German Engineering with Indian Ayurveda in health products,2021.0,,2015.0,HealthCare,New Delhi,Sanchit Garg,Venture Catalysts,
Juspay,Series C,60000000.0,,Enable frictionless payments for the billion Indians.,2021.0,,2012.0,FinTech,Bangalore,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,
Metadome,Series A,4000000.0,,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.",2021.0,,2017.0,Computer Software,Bangalore,"Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",
Karbon Card,Series A,1000000.0,,Karbon Card is a financial platform for Indian entrepreneurs.,2021.0,,2019.0,FinTech,Bangalore,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners",
MFine,Series C,48000000.0,,"MFine aims to make access to trusted healthcare simple, fast, and effective.",2021.0,,2017.0,Hospital & Health Care,Bangalore,"Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",
SportZchain,Pre-Seed funding,400000.0,,SportZchain is India's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,2021.0,,2021.0,sports,Mumbai,Siddharth Jaiswal,"Darq Capital, Jagadeesh Atukuri",
Buyofuel,Seed funding,100000.0,,Green Fuels Marketplace,2021.0,,2020.0,Oil & Energy,Coimbatore,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,
Airblack,Series A,5200000.0,,Airblack is on a mission to help people convert their passion to a livelihood.,2021.0,,2019.0,IT startup,Gurugram,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",
IndiQube,Series A,15000000.0,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,2018.0,Undisclosed,2018.0,Real Estate,Bangalore,,,
Droni Tech,Seed funding,510998.88602242846,"Mumbai, Maharashtra, India",Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,2018.0,Undisclosed,2018.0,IT & Technology,Mumbai,,,
Mentza,Seed funding,400000.0,,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform",2021.0,,2020.0,E-learning,Mumbai,"Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,
XYXX Apparels,Series A,4000000.0,,"XYXX Apparels,which runs an eponymous innerwear brand",2021.0,,2017.0,Fashion,Surat,Yogesh Kabra,,
NicheAI,Seed funding,566999.3634413877,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,2018.0,Undisclosed,2018.0,IT & Technology,Hyderabad,,,
Acko General Insurance,Series A,12000000.0,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Janani,Seed funding,1000000.0,,Janani.ai is a fertility care provider.,2021.0,,2020.0,Heathcare,Bangalore,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",
Mihuru,Seed funding,150000.0,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Udaan,Series C,225000000.0,"Bangalore, Karnataka, India","Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",2018.0,Undisclosed,2018.0,Business Services,Bangalore,,,
WinZO,Series C,65000000.0,,WinZO is the largest social gaming and entertainment platform in India.,2021.0,,2018.0,Gaming,New Delhi,Paavan Nanda,Griffin Gaming Partners,
Indifi,Debt,5000000.0,,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,2021.0,,2015.0,FinTech,Gurugram,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",
Raptee Energy,,700000.0,,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,2021.0,,2019.0,Automotive,Chennai,Phunith Kumar,,
GetWork,Seed funding,200000.0,,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2021.0,,2019.0,Recruitment,Gurugram,Rahul Veerwal,Artha Venture Fund,
Euler Motors,Series A,4000000.0,,Electric Light Commercial Vehicle,2021.0,,2018.0,Automotive,New Delhi,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",
IsGoingOnline,,200000.0,,Kochi-based digital catalogue and marketplace IsGoingOnline,2021.0,,2015.0,Retail,Cochin,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",
Ultraviolette,Series C,150000000.0,,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021.0,,2021.0,Automotive,Bangalore,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",
Ingenium,Seed funding,1000000.0,,Ingenium Education has been pushing e-learning by bringing small and medium sized institutes and schools online.,2021.0,,2018.0,EdTech,New Delhi,"Pramudit Somvanshi, Mohit Patel, Aakash Gupta",Lead Angels,
Chargeup,Series A,3600000.0,,"""Battery as a Service"" for 3 wheeler & 2 wheelers",2021.0,,2019.0,Renewable Energy,New Delhi,"Varun Goenka, Akshay Kashyap",Mapmyindia,
Playto Labs,Seed funding,500000.0,,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,2021.0,,2021.0,E-learning,Bangalore,Pavan Ponnaganti,Inflection Point Ventures,
ExtraaEdge,Series A,1000000.0,,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,2021.0,,2015.0,MarTech,Pune,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",
Accio Robotics,,3500000.0,,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,2021.0,,2020.0,Industrial Automation,Bangalore,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,
CoinGeto,Seed funding,1751996.1806483262,"Delhi, Delhi, India",CoinGeto is one of India’s most advanced digital assets exchange.,2018.0,Undisclosed,2018.0,Financial Services,New Delhi,,,
BangDB,,3500000.0,,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,2021.0,,2015.0,Computer Software,Bangalore,Sachin Sinha,Ten Innovate,
Gyde,Seed funding,250000.0,,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",2021.0,,2019.0,Computer software,Pune,"Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",
IsGoingOnline,Series A,200000.0,,Kochi-based digital catalogue and marketplace IsGoingOnline,2021.0,,2015.0,Retail,Cochin,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",
Lido Learning,,10000000.0,,LIDO is an  ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,2021.0,,2019.0,E-learning,Mumbai,Sahil Sheth,Unilazer Ventures,
EduFund,Pre-Seed funding,300000.0,,Changing the way Indians evaluate and plan higher education,2021.0,,2020.0,FinTech,Gujarat,"Arindam Sengupta, Eela Dubey",View Trade Holding Corp,
SupplyNote,Series A,1200000.0,,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.",2021.0,,2015.0,Food & Beverages,Noida,"Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,
Grinntech,,2000000.0,,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",2021.0,,2013.0,Automotive,Chennai,"Nikhilesh Mishra, Puneet Jain",,
Boingg,Seed funding,200000.0,,D2C furniture brand,2021.0,,2019.0,Furniture,Gurugram,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,
SuperBeings,Seed funding,1000000.0,,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",2021.0,,2019.0,Computer software,Bangalore,"Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,
Bambinos,Seed funding,500000.0,,Cohort based extracurricular course for kids,2021.0,,2020.0,EdTech,Bangalore,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",
Insane AI,Seed funding,800000.0,,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,2021.0,,2021.0,Fitness,Bangalore,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,
iBus,,21000000.0,,iBus Networks is an in-building connectivity solutions company,2021.0,,2010.0,Telecommuncation,Bangalore,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,
BricSpaces,Pre-Seed funding,350000.0,,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",2021.0,,2018.0,Real estate,Bangalore,Madhusudhan,Angel investors,
MetroRide,,3500000.0,,"Urban Mobility Affordable, Punctual & Sustainable.",2021.0,,2020.0,Transportation,Bangalore,"Girish Nagpal, Kaaman Agarwal",,
Wishup,Seed funding,566999.3634413877,"Azadpur, Delhi, India",Premium Personal Assistance service,2018.0,Undisclosed,2018.0,IT & Technology,Azadpur,,,
CredR,,6500000.0,,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,2021.0,,2015.0,Automotive,Bangalore,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",
DealShare,,9000000.0,,DealShare is a Social Commerce Startup,2021.0,,2018.0,E-commerce,Jaipur,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",
ZestMoney,Series C,50000000.0,,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.",2021.0,,2015.0,Financial Services,Bangalore,"Priya Sharma, Lizzie Chapman",Zip Co,
Anar,Seed funding,6200000.0,,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,2021.0,,2019.0,Information Technology & Services,Mumbai,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",
Medikabazaar,Series C,75000000.0,,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.",2021.0,,2014.0,Healthtech,Mumbai,"Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",
GlobalBees,Series B,111000000.0,,Globalbees partners with entrepreneurs who have built an online-first business.,2021.0,,2021.0,E-commerce,New Delhi,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",
Chai Kings,Seed funding,291999.36344138766,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,2018.0,Undisclosed,2018.0,Consumer Goods,Chennai,,,
Alpha Coach,,1200000.0,,One to One Personal Fitness Coaching,2021.0,,2021.0,Professional Training & Coaching,Mumbai,Ketan Mavinkurve,Jani Ventures INC,
Headfone,Seed funding,3000000.0,,Headfone helps create and share the audio content with listeners.,2021.0,,2017.0,Social audio,Bangalore,"Pratham Khandelwal, Yogesh Sharma",Hashed,
Genext Students,,3500000.0,,"LIVE online classes with expert tutors for K-12 for CBSE, ICSE and State Boards.",2021.0,,2013.0,EdTech,Mumbai,"Ali Asgar Kagzi, Piyush Dhanuka",Navneet Education,
Pine Labs,,100000000.0,,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,2021.0,,1998.0,Information Technology & Services,Noida,Amrish Rau,Invesco Developing Markets Fund,
ApplicateAI,Series A,30000000.0,,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",2021.0,,2014.0,Information Technology & Services,Gurugram,"Madhusudan Atmakuri, Ranjeet Kumar",,
GoSats,Seed funding,700000.0,,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,2021.0,,2020.0,FinTech,Bangalore,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",
MediBuddy,Debt,3000000.0,,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",2021.0,,2000.0,EdTech,Bangalore,Satish Kannan,"InnoVen Capital, TEAMFund",
